Th,Tc,Tw,Th_in,Tc_in
321.71255063843876,320.5637908447796,321.21605179036146,325.4113209538004,309.99345179961387
323.43946794738696,320.4695811877657,321.22411008402827,352.21401480563804,311.24651588553473
323.7164012116745,320.6145437534892,321.4172329317579,352.21401480563804,311.24651588553473
323.90061420580105,320.7904845884246,321.6066677224251,352.21401480563804,311.24651588553473
324.0695106134471,320.9594729727825,321.78523698226167,352.21401480563804,311.24651588553473
324.22864583708804,321.11913436676844,321.9537345327594,352.21401480563804,311.24651588553473
324.3786482589174,321.2696586815381,322.1125759764644,352.21401480563804,311.24651588553473
324.5200562478226,321.4115601487513,322.2623173471606,352.21401480563804,311.24651588553473
324.6533631253367,321.54533231520867,322.4034802393611,352.21401480563804,311.24651588553473
324.7790329804157,321.67144080795225,322.53655604810945,352.21401480563804,311.24651588553473
324.89750319560267,321.79032453148676,322.6620079292117,352.21401480563804,311.24651588553473
325.00918627793027,321.9023974323767,322.78027269934256,352.21401480563804,311.24651588553473
325.11447102077153,322.0080496610211,322.89176206416823,352.21401480563804,311.24651588553473
325.2137239504059,322.10764902302145,322.99686415002986,352.21401480563804,311.24651588553473
325.30729059510156,322.2015422526776,323.09594484780683,352.21401480563804,311.24651588553473
325.3954966889399,322.290056221013,323.1893490876845,352.21401480563804,311.24651588553473
325.3998369849147,321.0529266362327,323.05676070024003,352.7541312533387,293.61807178973294
325.2293121038633,320.79947963587125,322.850889616544,352.7541312533387,293.61807178973294
325.046106933532,320.6100908685928,322.6545899439288,352.7541312533387,293.61807178973294
324.8715340788038,320.43461897265615,322.46958470278605,352.7541312533387,293.61807178973294
324.7068858505543,320.2693781025823,322.29522413695094,352.7541312533387,293.61807178973294
324.55166536647596,320.1136148014461,322.1308556797625,352.7541312533387,293.61807178973294
324.4053379928177,319.966776628705,321.97590493616497,352.7541312533387,293.61807178973294
324.2673932997766,319.82835045037376,321.8298309089778,352.7541312533387,293.61807178973294
324.1373511382317,319.6978543895567,321.69212512549433,352.7541312533387,293.61807178973294
323.8330336327348,320.8600611886879,321.7273227502109,348.9760320659728,311.17470774253604
