Th,Tc,Tw,Th_in,Tc_in
323.89053374302256,320.50413937382376,320.9373665059383,348.9760320659728,311.17470774253604
325.85554059048803,319.6327989165432,322.85777301850254,348.9760320659728,311.17470774253604
325.84252933464967,320.8350844468099,322.8809792775706,348.9760320659728,311.17470774253604
324.5997353149333,319.20961939153915,323.0115883180062,348.9760320659728,311.17470774253604
324.54438154003253,318.57136226238,321.5217821576866,348.9760320659728,311.17470774253604
323.15378303554763,320.99611186185274,321.9310623131809,348.9760320659728,311.17470774253604
324.2450372260454,322.0493175145567,322.4847841334581,348.9760320659728,311.17470774253604
324.833344498455,323.3215116790435,323.0765100577843,348.9760320659728,311.17470774253604
326.32637902948665,323.36658509433056,322.0724627354592,348.9760320659728,311.17470774253604
324.47194858594565,322.52004073584044,321.92378347448937,348.9760320659728,311.17470774253604
325.76938197621297,321.25116536921684,322.45415794969887,348.9760320659728,311.17470774253604
325.38716088963827,318.7286349788629,323.0737947415996,348.9760320659728,311.17470774253604
325.2816073063221,324.4965596736447,322.1573018122998,348.9760320659728,311.17470774253604
324.62034242904457,322.8379645099768,322.7941164411891,348.9760320659728,311.17470774253604
323.8680288037017,326.6445249292443,323.81416245132147,348.9760320659728,311.17470774253604
323.4443692289827,321.55195898745023,322.9212861834803,348.9760320659728,311.17470774253604
325.6595850476974,322.5348761212349,321.753375430021,348.9760320659728,311.17470774253604
322.60381431561274,323.9000696354697,322.611156957462,348.9760320659728,311.17470774253604
322.04450823668446,318.33748871337036,323.4289482911305,355.81108067662706,290.7069396915984
325.2634831195732,321.3583705440784,321.2265746612182,355.81108067662706,290.7069396915984
325.6071361723298,318.6900541381486,323.34259917950106,355.81108067662706,290.7069396915984
326.2545514932275,320.18204151977676,322.0042627676936,369.7499185775044,303.53037896840766
326.64945158242824,319.2251295856882,323.45593950898694,369.7499185775044,303.53037896840766
327.3758197265041,322.60252361447607,322.98460696765744,369.7499185775044,303.53037896840766
326.6845989210181,321.1686697939772,323.61557127877,369.7499185775044,303.53037896840766
326.73370499551345,321.9476464291535,324.6596918119222,369.7499185775044,303.53037896840766
329.58289741656904,319.67036828176936,324.05545737799025,369.7499185775044,303.53037896840766
329.3655845989051,322.8539504713872,323.48429838355713,369.7499185775044,303.53037896840766
328.1799842214484,323.2373043653323,325.9407663258391,369.7499185775044,303.53037896840766
327.69332094810534,322.7914978510639,325.21729221660087,369.7499185775044,303.53037896840766
325.4964747098189,324.28968211106235,325.43388034800853,369.7499185775044,303.53037896840766
328.89616787847297,323.36446892897646,325.2573081538139,345.6112930233218,305.98252583792595
325.6759762602078,326.45431090690823,325.5329305555321,345.6112930233218,305.98252583792595
327.2369927128046,324.0683664549112,324.6028782095326,345.6112930233218,305.98252583792595
325.4165094914773,323.1327338859742,324.1391670869814,345.6112930233218,305.98252583792595
325.8061368188378,322.15324842466356,325.64692494450253,345.6112930233218,305.98252583792595
325.71115498521266,323.13578246958383,323.9892558203831,345.6112930233218,305.98252583792595
326.13360577965415,324.80523685433286,323.21095023775587,345.6112930233218,305.98252583792595
327.45325819911744,322.8666767906932,324.24484651988695,345.6112930233218,305.98252583792595
325.05144486148447,323.2031453787535,323.38483556387484,345.6112930233218,305.98252583792595
327.24927879929425,321.7120017852921,323.06274649889906,357.752365342334,297.15058601715157
323.5409761740006,320.47188538593923,322.78659170398146,357.752365342334,297.15058601715157
324.16106419995447,322.0017695784502,322.99919846038705,357.752365342334,297.15058601715157
325.9275379757326,322.4736026107008,323.996275010561,357.752365342334,297.15058601715157
326.47859539732417,322.65251251731974,323.579191020577,357.752365342334,297.15058601715157
327.91086435330214,320.50645701425145,323.2217709401427,357.752365342334,297.15058601715157
324.9704523778116,323.49466877344946,324.1410101831089,357.752365342334,297.15058601715157
324.829670364507,320.99751770317727,322.4758797350361,357.752365342334,297.15058601715157
323.0490841172389,323.3344565162054,323.83662781384083,357.752365342334,297.15058601715157
328.2074918021215,321.01305934590863,322.25044804054284,371.3507813228142,283.1531552094253
326.23262292271744,321.51638054533583,322.7256192678575,371.3507813228142,283.1531552094253
327.13864533318986,320.6962469801776,323.02827119647947,371.3507813228142,283.1531552094253
325.67830801193566,322.3094587191991,321.7293035024821,371.3507813228142,283.1531552094253
328.9854067363846,319.2402036504985,324.32189202805574,371.3507813228142,283.1531552094253
323.4524180509101,321.3645535942214,323.07628599103754,332.91001372188924,309.491378308486
322.79523629154846,318.6076865161764,321.9352276664925,332.91001372188924,309.491378308486
322.8420779274721,323.37430529576716,322.60479356846173,332.91001372188924,309.491378308486
321.3140074383651,321.26277819982687,322.022332656695,332.91001372188924,309.491378308486
324.0043732885279,320.4701058743457,321.98174134546053,332.91001372188924,309.491378308486
322.5920977372547,320.43375969208495,321.37669546553997,332.91001372188924,309.491378308486
318.30607946621404,319.8883744121243,320.55926097886163,332.91001372188924,309.491378308486
323.56313603789033,321.6039020992829,321.6151378272892,332.91001372188924,309.491378308486
321.628825999637,319.17004401891387,319.7225361048583,332.91001372188924,309.491378308486
323.3809565525895,317.1713429811166,321.25595904832363,340.61899807127986,288.56363953078994
322.2140581961004,316.5310631316054,319.1506609510179,340.61899807127986,288.56363953078994
325.9399695937186,321.98529932296515,319.32061466115476,364.2416479914489,305.0879201022691
325.52926938433126,316.89508083555955,321.015240972455,364.2416479914489,305.0879201022691
323.3611771399602,318.3724638897295,319.5554802802764,364.2416479914489,305.0879201022691
324.45238184960215,322.0770535499028,322.18418498243676,364.2416479914489,305.0879201022691
324.6208917625289,320.84451489255457,323.07715778123327,364.2416479914489,305.0879201022691
326.55316216139653,319.709411655074,321.99456076957057,364.2416479914489,305.0879201022691
328.1300367204632,317.9579839907725,322.896601813132,364.2416479914489,305.0879201022691
322.68886172337204,318.89138497898864,321.9841513751183,364.2416479914489,305.0879201022691
329.0629579991161,320.82234691293144,322.73897014536675,364.2416479914489,305.0879201022691
