Th,Tc,Tw
317.2227073953028,314.22698956970345,317.33437488474055
317.9350939357056,312.165104519791,316.6633143443335
317.2472572593257,313.5093442480096,316.4066382976623
317.7440035448556,311.38960802973924,315.25829712611215
316.1483842128912,312.8027428049114,314.9341713966392
316.21242366051194,314.87984812633374,315.553195724942
315.0408573238874,313.96171385493085,314.2071972627345
315.36636554632366,311.83268238585583,315.44464409191534
319.89960274370014,314.1606018907063,314.3205508105877
315.8010455171312,312.7665703872547,313.42739711533727
317.6966285462935,313.3670907645851,314.2627086177346
315.78490089175244,312.7890848080499,312.2091312294857
314.16127412915665,312.8621933368063,312.30327641216513
312.44146692410385,311.2036541138383,313.8049794848337
313.9689345268389,309.7840078278801,312.6964123866112
312.15579021832605,310.19258145765184,312.4559781737272
311.1753099009286,310.599722067131,312.4268661290602
314.1900657227118,310.4834700774786,311.8468783218679
313.35587273067216,309.9179244731679,311.2110159473111
314.5570986840881,309.1353340510007,311.18089705813736
311.52348250904913,311.3379251953858,311.96165052434264
322.262270853267,314.5262701093414,313.46846543152213
314.52570312394135,313.2236971563144,314.85646242790307
316.7936690516342,314.9678283568425,315.0274386715319
316.1786571856706,314.1261618403717,314.4024683249957
319.1625166542342,313.02555798619727,314.6540414020548
314.69785148616984,314.92912945945886,315.29024667135013
316.7643815060945,313.9132685905616,314.6984077835431
318.3639525184136,311.3068439976439,315.91345131412794
318.86871568596274,315.13306413355247,314.1006861702499
317.36977903631697,313.5880187806708,314.91813150275743
318.970996565886,312.51028420574477,315.4401587615224
316.9409523121374,314.13790251514916,315.09589101826907
315.73315385224896,314.7605668557325,315.1398413839657
320.2487955205366,316.0516717272803,315.19701201250166
319.13215608936474,312.38651048445575,316.0238566672905
317.8422615339935,315.7052040090166,316.47004033351357
322.88141896586063,312.2874963305337,316.70261194482543
323.17319876094007,315.41836830492906,317.4473672263776
321.2459144491143,315.07556314220733,318.2827214931955
321.0323506567936,314.91260806007716,318.47088178682554
324.1798878792832,319.689937487782,319.48176810605605
319.26301937909113,316.7741443019645,317.22087422984913
318.0077917638965,318.2905625666755,318.15369741737635
318.7941153348828,315.2990832216718,317.058205181603
320.6582697351161,316.5929023484289,319.132902976453
317.6703306772608,314.9023347473695,317.50034870192303
318.74030268780615,316.51422023716924,317.98019726760253
320.7805485905429,320.0538978583266,318.9503454824065
326.35193620832916,319.5755869792858,318.98282090115686
320.19901816875307,318.98579175466114,319.4528643862266
322.5927451092935,319.8357780955388,320.57204187092645
327.16753028453127,319.9051909714698,320.71879028383097
324.02225640393925,317.4197008631564,321.7227529514725
329.97244689884445,320.1612996376092,321.9223506960658
327.0955078895601,321.83301809613636,322.1128991177996
325.4459098902338,322.5133565086751,323.69660199541636
323.41340758853335,319.07565516982953,322.3743849482897
324.59128228358526,320.87939617648203,322.1813200347961
325.6863142805357,321.71020407629595,321.8303880451448
327.0202274710625,317.1247706993589,321.4710944107952
324.19066147783485,316.68177634166693,321.7604430283801
325.1671377013746,320.00637135337877,321.88114128892744
325.6666128273835,317.21305277171984,322.67355404687385
323.3019286504485,319.350678959249,321.8742932258159
324.50929037660234,320.04690489348803,321.8156179105815
317.19085354160745,320.0360211466712,320.55625076461706
320.01805003696734,317.1267746505803,319.34317821863743
